Y座標,余熱時間,硬化時間,余熱開始日時,生産日,注入時間,投入開始日時_dayofweek,取出終了日時_dayofweek,生産日_dayofweek,preheat_duration,preheat_duration_negative,curing_duration_ratio,preheat_duration_injection_duration_ratio,preheat_duration_curing_duration_ratio,anomaly_flag_ratio,time_anomaly_score,B剤流圧(Mpa)_scaled,A剤タンク2圧力(Mpa)_scaled,生産吐出時間(sec)_scaled,余熱時間_scaled,生産日_dayofweek_scaled,生産日_day_scaled,preheat_duration_scaled,preheat_duration_injection_duration_ratio_scaled,preheat_duration_curing_duration_ratio_scaled
351.0,1079,1184,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.1326530612244898,1.0,-0.5,0.0,0.0,0.0
351.0,1079,1184,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.1326530612244898,1.0,-0.5,0.0,0.0,0.0
360.0,1085,1188,46114.0,46114.0,10.00000045,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,-0.07142857142857142,1.0,-0.5,0.0,0.0,0.0
371.5,1085,1188,46114.0,46114.0,10.00000045,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,2.500000000000001,1.0,-0.9600000000000002,-0.07142857142857142,1.0,-0.5,0.0,0.0,0.0
351.0,1085,1188,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.07142857142857142,1.0,-0.5,0.0,0.0,0.0
351.0,1085,1188,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.07142857142857142,1.0,-0.5,0.0,0.0,0.0
371.5,1100,1179,46114.0,46114.0,11.00000006,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,2.500000000000001,1.0,-0.9600000000000002,0.08163265306122448,1.0,-0.5,0.0,0.0,0.0
360.0,1100,1179,46114.0,46114.0,9.999999823,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,0.08163265306122448,1.0,-0.5,0.0,0.0,0.0
351.0,1100,1179,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,0.08163265306122448,1.0,-0.5,0.0,0.0,0.0
360.0,1114,1163,46114.0,46114.0,9.999999823,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,0.22448979591836735,1.0,-0.5,0.0,0.0,0.0
371.5,1114,1163,46114.0,46114.0,9.999999823,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,2.500000000000001,1.0,-0.9600000000000002,0.22448979591836735,1.0,-0.5,0.0,0.0,0.0
351.0,1114,1163,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.22448979591836735,1.0,-0.5,0.0,0.0,0.0
351.0,1087,1188,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.05102040816326531,1.0,-0.5,0.0,0.0,0.0
351.0,1082,1186,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.10204081632653061,1.0,-0.5,0.0,0.0,0.0
356.8,1087,1188,46114.0,46114.0,13.00000052,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,0.6,-0.05102040816326531,1.0,-0.5,0.0,0.0,0.0
351.0,1084,1195,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.08163265306122448,1.0,-0.5,0.0,0.0,0.0
360.0,1089,1191,46114.0,46114.0,11.00000006,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,-0.9600000000000002,-0.030612244897959183,1.0,-0.5,0.0,0.0,0.0
356.8,1089,1191,46114.0,46114.0,14.00000013,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,0.6,-0.030612244897959183,1.0,-0.5,0.0,0.0,0.0
336.0,1089,1191,46114.0,46114.0,12.9999999,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,0.2799999999999997,-0.030612244897959183,1.0,-0.5,0.0,0.0,0.0
